Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Gagwejiiwaazoowinini wa'awe gaa-dagoshing. Niibiwa daso-biboon gii-kagwejiiwaazo.,This is the wrestler that just got home. He's been wrestling for years.,"""<daso-biboon>""
	""biboon"" PVRel/daso VII Ind Pos Neu 0SgSubj
	""daso-biboon"" NUM","""<gagwejiiwaazoowinini>""
	""gagwejiiwaazoowinini"" NA ProxSg
""<wa'awe>""
	""wa'awe"" PRONDem
""<gaa-dagoshing>""
	""dagoshin"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""

""<niibiwa>""
	""niibiwa"" ADVQnt
""<daso-biboon>""
	""biboon"" PVRel/daso VII Ind Pos Neu 0SgSubj
	""daso-biboon"" NUM
""<gii-kagwejiiwaazo>""
	""gagwejiiwaazo"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<.>""
","""<gagwejiiwaazoowinini>""
	""gagwejiiwaazoowinini"" NA ProxSg
""<wa'awe>""
	""wa'awe"" PRONDem
""<gaa-dagoshing>""
	""dagoshin"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""

""<niibiwa>""
	""niibiwa"" ADVQnt
""<daso-biboon>""
	""biboon"" PVRel/daso VII Ind Pos Neu 0SgSubj
	""daso-biboon"" NUM
""<gii-kagwejiiwaazo>""
	""gagwejiiwaazo"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<.>""
",
Indaga o-waabandandaa mii 'iw gii-maadaakideg 'i gichi-... gichi-mashkosiw.,Let's go look at the hayfield. It's starting to burn.,"""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss","""<indaga>""
	""indaga"" PCDisc
""<o-waabandandaa>""
	""waabandan"" PVDir/o VTI Imp Sim InclSubj 0SgObj
""<mii>""
	""mii"" ADVPred
""<'iw>""

""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<'i>""

""<gichi-..>""

""<.>""

""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss
""<.>""
","""<indaga>""
	""indaga"" PCDisc
""<o-waabandandaa>""
	""waabandan"" PVDir/o VTI Imp Sim InclSubj 0SgObj
""<mii>""
	""mii"" ADVPred
""<'iw>""

""<gii-maadaakideg>""
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""maadaakide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<'i>""

""<gichi-..>""

""<.>""

""<gichi-mashkosiw>""
	""PNLex/gichi"" mashkosiw NI Sg
	""PNLex/chi"" mashkosiw NI Sg 2SgPoss
""<.>""
",
Ogii-pimijishimaan odasabiin awe gaa-'o-bagida'waad.,The one who went to set nets set them sideways.,"""<odasabiin>""
	""odasabii"" VAI Imp Sim 2SgSubj
	""asab"" NA ObvSg 3SgProxPoss
	""asab"" NA ObvPl 3SgProxPoss","""<ogii-pimijishimaan>""

""<odasabiin>""
	""odasabii"" VAI Imp Sim 2SgSubj
	""asab"" NA ObvSg 3SgProxPoss
	""asab"" NA ObvPl 3SgProxPoss
""<awe>""

""<gaa-'o-bagida'waad>""

""<.>""
","""<ogii-pimijishimaan>""

""<odasabiin>""
	""odasabii"" VAI Imp Sim 2SgSubj
	""asab"" NA ObvSg 3SgProxPoss
	""asab"" NA ObvPl 3SgProxPoss
""<awe>""

""<gaa-'o-bagida'waad>""

""<.>""
",
Gii-maazhi-giizhigad bijiinaago gaa-onji-bwaanawitooyaan ji-gopiiyaan.,It was a bad day yesterday and that's why I didn't go out in the woods.,"""<gii-maazhi-giizhigad>""
	""maazhi-giizhigad"" PVTense/gii VII Ind Pos Neu 0SgSubj
	""PVLex/maazhi"" PVTense/gii giizhigad VII Ind Pos Neu 0SgSubj
""<gaa-onji-bwaanawitooyaan>""
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0SgObj
""<ji-gopiiyaan>""
	""gopii"" PVTense/daa VAI Cnj Pos Neu 1SgSubj
	""gopii"" PVTense/ga VAI Cnj Pos Neu 1SgSubj","""<gii-maazhi-giizhigad>""
	""maazhi-giizhigad"" PVTense/gii VII Ind Pos Neu 0SgSubj
	""PVLex/maazhi"" PVTense/gii giizhigad VII Ind Pos Neu 0SgSubj
""<bijiinaago>""
	""bijiinaago"" ADVTmp
""<gaa-onji-bwaanawitooyaan>""
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0SgObj
""<ji-gopiiyaan>""
	""gopii"" PVTense/daa VAI Cnj Pos Neu 1SgSubj
	""gopii"" PVTense/ga VAI Cnj Pos Neu 1SgSubj
""<.>""
","""<gii-maazhi-giizhigad>""
	""maazhi-giizhigad"" PVTense/gii VII Ind Pos Neu 0SgSubj
	""PVLex/maazhi"" PVTense/gii giizhigad VII Ind Pos Neu 0SgSubj
""<bijiinaago>""
	""bijiinaago"" ADVTmp
""<gaa-onji-bwaanawitooyaan>""
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0PlObj
	""PVRel/onji"" PVSub/gaa bwaanawitoon VTI Cnj Pos Neu 1SgSubj 0SgObj
""<ji-gopiiyaan>""
	""gopii"" PVTense/daa VAI Cnj Pos Neu 1SgSubj
	""gopii"" PVTense/ga VAI Cnj Pos Neu 1SgSubj
""<.>""
",
Indigo naa gaye gaa-zhiibiigishkaad gii-chaagideg ezhimaandang.,He thinks he smelled rubber burning.,"""<gii-chaagideg>""
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0PlSubj","""<indigo>""
	""indigo"" ADVMan
""<naa>""
	""naa"" PCEmph
""<gaye>""
	""gaye"" ADVConj
""<gaa-zhiibiigishkaad>""

""<gii-chaagideg>""
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<ezhimaandang>""

""<.>""
","""<indigo>""
	""indigo"" ADVMan
""<naa>""
	""naa"" PCEmph
""<gaye>""
	""gaye"" ADVConj
""<gaa-zhiibiigishkaad>""

""<gii-chaagideg>""
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""jaagide"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<ezhimaandang>""

""<.>""
",
Ogii-kwekinaan aana-gii-nanaa'isijigaadenig 'i waasechiganaabik.,He turned around the glass pane they had set.,"""<ogii-kwekinaan>""
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""gwekinan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj","""<ogii-kwekinaan>""
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""gwekinan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<aana-gii-nanaa'isijigaadenig>""

""<'i>""

""<waasechiganaabik>""
	""waasechiganaabik"" NI Sg
""<.>""
","""<ogii-kwekinaan>""
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""gwekin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""gwekinan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<aana-gii-nanaa'isijigaadenig>""

""<'i>""

""<waasechiganaabik>""
	""waasechiganaabik"" NI Sg
""<.>""
",
Manidoo-giizisoons gii-oshkagoojin awasi-dibikong.,It was the new moon of January the other night.,"""<manidoo-giizisoons>""
	""manidoo-giizisoons"" NA ProxSg
	""manidoo-giizis"" NA Dim ProxSg
""<awasi-dibikong>""
	""awasi-dibikong"" ADVTmp
	""dibikong"" PVLex/awasi ADVTmp","""<manidoo-giizisoons>""
	""manidoo-giizisoons"" NA ProxSg
	""manidoo-giizis"" NA Dim ProxSg
""<gii-oshkagoojin>""
	""oshkagoojin"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<awasi-dibikong>""
	""awasi-dibikong"" ADVTmp
	""dibikong"" PVLex/awasi ADVTmp
""<.>""
","""<manidoo-giizisoons>""
	""manidoo-giizisoons"" NA ProxSg
	""manidoo-giizis"" NA Dim ProxSg
""<gii-oshkagoojin>""
	""oshkagoojin"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<awasi-dibikong>""
	""awasi-dibikong"" ADVTmp
	""dibikong"" PVLex/awasi ADVTmp
""<.>""
",
Biizikan ginamekwaanakizinan. Nibiiwashkosiwagaa agwajiing.,Put on your rubber boots. The grass outside is wet.,"""<biizikan>""
	""biizikan"" VTI Imp Sim 2SgSubj 0SgObj
	""biizikan"" VTI Imp Sim 2SgSubj 0PlObj","""<biizikan>""
	""biizikan"" VTI Imp Sim 2SgSubj 0SgObj
	""biizikan"" VTI Imp Sim 2SgSubj 0PlObj
""<ginamekwaanakizinan>""
	""namekwaanakizin"" NI Pl 2SgPoss
""<.>""

""<nibiiwashkosiwagaa>""
	""nibiiwashkosiwagaa"" VII Ind Pos Neu 0SgSubj
""<agwajiing>""
	""agwajiing"" ADVLoc
""<.>""
","""<biizikan>""
	""biizikan"" VTI Imp Sim 2SgSubj 0SgObj
	""biizikan"" VTI Imp Sim 2SgSubj 0PlObj
""<ginamekwaanakizinan>""
	""namekwaanakizin"" NI Pl 2SgPoss
""<.>""

""<nibiiwashkosiwagaa>""
	""nibiiwashkosiwagaa"" VII Ind Pos Neu 0SgSubj
""<agwajiing>""
	""agwajiing"" ADVLoc
""<.>""
",
Debinaak igo Anangookwe izhichige.,Anangookwe does things any old way.,"""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<igo>""
	""igo"" PCEmph
""<anangookwe>""

""<izhichige>""
	""izhichige"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<igo>""
	""igo"" PCEmph
""<anangookwe>""

""<izhichige>""
	""izhichige"" VAI Ind Pos Neu 3SgProxSubj
""<.>""
",
Obwaanawi'aan ji-bakonaad waaboozoon; onzaam okanaapinewininjii.,She's not able to skin a rabbit because of the arthritis in her hands.,"""<obwaanawi'aan>""
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-bakonaad>""
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj","""<obwaanawi'aan>""
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-bakonaad>""
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<waaboozoon;>""

""<onzaam>""
	""onzaam"" ADVQnt
""<okanaapinewininjii>""

""<.>""
","""<obwaanawi'aan>""
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaanawi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-bakonaad>""
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""bakon"" PVTense/daa VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""bakon"" PVTense/ga VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<waaboozoon;>""

""<onzaam>""
	""onzaam"" ADVQnt
""<okanaapinewininjii>""

""<.>""
",
Weweni mamoon. Aapiji ozhaashadamon.,Take it easy. The road is very slippery.,"""<mamoon>""
	""mamoon"" VTI Imp Sim 2SgSubj 0SgObj
	""mamoon"" VTI Imp Sim 2SgSubj 0PlObj","""<weweni>""
	""weweni"" ADVMan
""<mamoon>""
	""mamoon"" VTI Imp Sim 2SgSubj 0SgObj
	""mamoon"" VTI Imp Sim 2SgSubj 0PlObj
""<.>""

""<aapiji>""
	""aapiji"" AVDDeg
""<ozhaashadamon>""
	""ozhaashadamon"" VII Ind Pos Neu 0SgSubj
""<.>""
","""<weweni>""
	""weweni"" ADVMan
""<mamoon>""
	""mamoon"" VTI Imp Sim 2SgSubj 0SgObj
	""mamoon"" VTI Imp Sim 2SgSubj 0PlObj
""<.>""

""<aapiji>""
	""aapiji"" AVDDeg
""<ozhaashadamon>""
	""ozhaashadamon"" VII Ind Pos Neu 0SgSubj
""<.>""
",
Gaawiin obagidinaasii' oniijaanisa' ji-niibaashkaanid.,She doesn't let her children be out at night.,"""<ji-niibaashkaanid>""
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3SgObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3SgObvSubj","""<gaawiin>""
	""gaawiin"" ADVNeg
""<obagidinaasii'>""
	""bagidin"" VTA Ind Neg Neu 3SgProxSubj 3PlObvObj
""<oniijaanisa'>""
	""niijaanis"" NAD ObvPl 3SgProxPoss
""<ji-niibaashkaanid>""
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3SgObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3SgObvSubj
""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<obagidinaasii'>""
	""bagidin"" VTA Ind Neg Neu 3SgProxSubj 3PlObvObj
""<oniijaanisa'>""
	""niijaanis"" NAD ObvPl 3SgProxPoss
""<ji-niibaashkaanid>""
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3PlObvSubj
	""niibaashkaa"" PVTense/daa VAI Cnj Pos Neu 3SgObvSubj
	""niibaashkaa"" PVTense/ga VAI Cnj Pos Neu 3SgObvSubj
""<.>""
",
Owii-madwe'waan iidog odewe'iganiman awaswaabang.,He's going to pound on his drum and sing the day after tomorrow.,"""<owii-madwe'waan>""
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<odewe'iganiman>""
	""dewe'igan"" NA Poss ObvSg 3SgProxPoss
	""dewe'igan"" NA Poss ObvPl 3SgProxPoss","""<owii-madwe'waan>""
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iidog>""
	""iidog"" PCAsp
""<odewe'iganiman>""
	""dewe'igan"" NA Poss ObvSg 3SgProxPoss
	""dewe'igan"" NA Poss ObvPl 3SgProxPoss
""<awaswaabang>""
	""awaswaabang"" ADVTmp
""<.>""
","""<owii-madwe'waan>""
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""madwe'"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iidog>""
	""iidog"" PCAsp
""<odewe'iganiman>""
	""dewe'igan"" NA Poss ObvSg 3SgProxPoss
	""dewe'igan"" NA Poss ObvPl 3SgProxPoss
""<awaswaabang>""
	""awaswaabang"" ADVTmp
""<.>""
",
Ogii-minwaabandaan iwe mazina'igan gaa-pi-miinind gii-ozhibii'igaadeg imaa waa-inaakonigewaad.,He approved what he saw of the proposed rules he was given that they were going to decide on.,"""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gii-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0PlSubj","""<ogii-minwaabandaan>""
	""minwaabandan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iwe>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gaa-pi-miinind>""

""<gii-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<imaa>""
	""imaa"" ADVLoc
""<waa-inaakonigewaad>""

""<.>""
","""<ogii-minwaabandaan>""
	""minwaabandan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iwe>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<gaa-pi-miinind>""

""<gii-ozhibii'igaadeg>""
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0SgSubj
	""ozhibii'igaade"" PVTense/gii VII Cnj Pos Neu 0PlSubj
""<imaa>""
	""imaa"" ADVLoc
""<waa-inaakonigewaad>""

""<.>""
",
Anishinaabewanjigewag geyaabi gaa-onji-mino-ayaawaad.,They eat traditional food so that's why they're are still healthy.,"""<gaa-onji-mino-ayaawaad>""
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVRel/onji"" PVSub/gaa mino-ayaa VAI Cnj Pos Neu 3PlProxSubj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaa VAI Cnj Pos Neu 3PlProxSubj","""<anishinaabewanjigewag>""
	""anishinaabewanjige"" VAI Ind Pos Neu 3PlProxSubj
""<geyaabi>""
	""geyaabi"" ADVTmp
""<gaa-onji-mino-ayaawaad>""
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVRel/onji"" PVSub/gaa mino-ayaa VAI Cnj Pos Neu 3PlProxSubj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
","""<anishinaabewanjigewag>""
	""anishinaabewanjige"" VAI Ind Pos Neu 3PlProxSubj
""<geyaabi>""
	""geyaabi"" ADVTmp
""<gaa-onji-mino-ayaawaad>""
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaaw VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
	""PVRel/onji"" PVSub/gaa mino-ayaa VAI Cnj Pos Neu 3PlProxSubj
	""PVRel/onji"" PVSub/gaa PVLex/mino ayaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
",
Mii go ge ezhi-zikwaadang waasikwa'ang iniw omakizinan.,He is also spit-shining his shoes.,"""<waasikwa'ang>""
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<ge>""
	""ge"" ADVConj
""<ezhi-zikwaadang>""

""<waasikwa'ang>""
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<iniw>""
	""iniw"" PRONDem
""<omakizinan>""
	""makizin"" NI Pl 3SgProxPoss
""<.>""
","""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<ge>""
	""ge"" ADVConj
""<ezhi-zikwaadang>""

""<waasikwa'ang>""
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""waasikwa'an"" VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<iniw>""
	""iniw"" PRONDem
""<omakizinan>""
	""makizin"" NI Pl 3SgProxPoss
""<.>""
",
Gabe-dibik gii-ondendiwag igiw gaa-waaswaawaad.,The torchers were gone all night.,"""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp","""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-ondendiwag>""
	""ondendi"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
""<igiw>""
	""igiw"" PRONDem
""<gaa-waaswaawaad>""
	""waaswaa"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
","""<gabe-dibik>""
	""gabe-dibik"" ADVTmp
	""dibik"" PVLex/gabe ADVTmp
""<gii-ondendiwag>""
	""ondendi"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
""<igiw>""
	""igiw"" PRONDem
""<gaa-waaswaawaad>""
	""waaswaa"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<.>""
",
Niigaan ani-maajaan. Booch giga-adimigoo.,Just go ahead. We'll catch up to you anyway.,"""<giga-adimigoo>""
	""adim"" PVTense/ga VTA Ind Pos Neu XSubj 2SgObj
	""adim"" PVTense/ga VTA Ind Pos Neu ExclSubj 2SgObj","""<niigaan>""
	""niigaan"" ADVLoc
""<ani-maajaan>""
	""maajaa"" PVDir/ani VAI Imp Sim 2SgSubj
""<.>""

""<booch>""
	""booch"" ADVMan
""<giga-adimigoo>""
	""adim"" PVTense/ga VTA Ind Pos Neu XSubj 2SgObj
	""adim"" PVTense/ga VTA Ind Pos Neu ExclSubj 2SgObj
""<.>""
","""<niigaan>""
	""niigaan"" ADVLoc
""<ani-maajaan>""
	""maajaa"" PVDir/ani VAI Imp Sim 2SgSubj
""<.>""

""<booch>""
	""booch"" ADVMan
""<giga-adimigoo>""
	""adim"" PVTense/ga VTA Ind Pos Neu XSubj 2SgObj
	""adim"" PVTense/ga VTA Ind Pos Neu ExclSubj 2SgObj
""<.>""
",
Gii-shiigosin giziibiiga'igani-makakosag omaa gaa-ayateg.,The washtub that's been sitting here for a long time finally emptied.,"""<gaa-ayateg>""
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ayate"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead","""<gii-shiigosin>""

""<giziibiiga'igani-makakosag>""
	""giziibiiga'igani-makakosag"" NI Sg
""<omaa>""
	""omaa"" ADVLoc
""<gaa-ayateg>""
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ayate"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<gii-shiigosin>""

""<giziibiiga'igani-makakosag>""
	""giziibiiga'igani-makakosag"" NI Sg
""<omaa>""
	""omaa"" ADVLoc
""<gaa-ayateg>""
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""ayate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ayate"" PVTense/gii VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Maamawi anokiiwag. Geget aapiji mashkawiziiwag enigoonsag.,They all work together. Ants are certainly very strong.,"""<enigoonsag>""
	""enigoo"" NA Dim ProxPl
	""enigoons"" NA ProxPl","""<maamawi>""
	""maamawi"" ADVMan
""<anokiiwag>""
	""anokii"" VAI Ind Pos Neu 3PlProxSubj
""<.>""

""<geget>""
	""geget"" ADVMan
""<aapiji>""
	""aapiji"" AVDDeg
""<mashkawiziiwag>""
	""mashkawizii"" VAI Ind Pos Neu 3PlProxSubj
""<enigoonsag>""
	""enigoo"" NA Dim ProxPl
	""enigoons"" NA ProxPl
""<.>""
","""<maamawi>""
	""maamawi"" ADVMan
""<anokiiwag>""
	""anokii"" VAI Ind Pos Neu 3PlProxSubj
""<.>""

""<geget>""
	""geget"" ADVMan
""<aapiji>""
	""aapiji"" AVDDeg
""<mashkawiziiwag>""
	""mashkawizii"" VAI Ind Pos Neu 3PlProxSubj
""<enigoonsag>""
	""enigoo"" NA Dim ProxPl
	""enigoons"" NA ProxPl
""<.>""
",
Omaa bi-ina'oodoon.,Paddle this way.,"""<bi-ina'oodoon>""
	""ina'oodoo"" PVDir/bi VAI Imp Sim 2SgSubj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0SgObj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0PlObj","""<omaa>""
	""omaa"" ADVLoc
""<bi-ina'oodoon>""
	""ina'oodoo"" PVDir/bi VAI Imp Sim 2SgSubj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0SgObj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0PlObj
""<.>""
","""<omaa>""
	""omaa"" ADVLoc
""<bi-ina'oodoon>""
	""ina'oodoo"" PVDir/bi VAI Imp Sim 2SgSubj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0SgObj
	""ina'oodoon"" PVDir/bi VTI Imp Sim 2SgSubj 0PlObj
""<.>""
",
